epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,580.407,1.35085,3.23141,1.48922,0.31107,0.56598,0.33774,0.16002,1.58577,3.42102,1.68776,0.000330729,0.000330729,0.000330729
2,1194.89,1.36776,2.52879,1.46307,0.41251,0.65357,0.5483,0.27402,1.50462,2.91743,1.64145,0.000631191,0.000631191,0.000631191
3,1813.79,1.37309,2.3314,1.47372,0.55244,0.57341,0.56154,0.32449,1.39119,2.26978,1.54055,0.000898654,0.000898654,0.000898654
4,2442.03,1.37476,2.1338,1.46464,0.53135,0.42308,0.50796,0.31044,1.445,2.99817,1.6095,0.0008515,0.0008515,0.0008515
5,4317.31,1.33787,2.03402,1.43103,0.71627,0.66692,0.74889,0.45202,1.30658,1.69481,1.487,0.000802,0.000802,0.000802
6,4899.47,1.28401,1.88342,1.41542,0.7322,0.68777,0.77394,0.47934,1.3275,1.61183,1.47398,0.0007525,0.0007525,0.0007525
7,5760.12,1.29081,1.74094,1.40853,0.69662,0.68912,0.74573,0.46124,1.32393,1.70399,1.47453,0.000703,0.000703,0.000703
8,6383.59,1.23573,1.67368,1.37687,0.76306,0.58954,0.76417,0.50402,1.24724,1.54405,1.40573,0.0006535,0.0006535,0.0006535
9,7002.02,1.2327,1.63578,1.37265,0.78284,0.73414,0.81745,0.5212,1.20894,1.41118,1.40786,0.000604,0.000604,0.000604
10,7617.66,1.20877,1.58523,1.3652,0.80989,0.80644,0.83339,0.5364,1.22458,1.35835,1.38885,0.0005545,0.0005545,0.0005545
11,8238.95,1.11036,1.41268,1.33479,0.82361,0.73576,0.82821,0.57099,1.20537,1.27085,1.36265,0.000505,0.000505,0.000505
12,8853.56,1.0748,1.29204,1.29898,0.86167,0.82119,0.88127,0.61791,1.1683,1.04949,1.32894,0.0004555,0.0004555,0.0004555
13,9456.23,1.053,1.2305,1.28613,0.88891,0.80249,0.89427,0.62164,1.1132,1.0722,1.30302,0.000406,0.000406,0.000406
14,10062.6,1.02805,1.20772,1.27691,0.82593,0.78437,0.85932,0.57986,1.16464,1.1491,1.31242,0.0003565,0.0003565,0.0003565
15,10687,0.99625,1.12711,1.249,0.88118,0.82528,0.9014,0.64273,1.08324,1.00901,1.26941,0.000307,0.000307,0.000307
16,11320,0.95423,1.05023,1.21817,0.89816,0.85704,0.90954,0.6605,1.07968,0.92082,1.2608,0.0002575,0.0002575,0.0002575
17,11943.3,0.94683,1.01309,1.21126,0.88944,0.83871,0.89948,0.65666,1.05344,0.94135,1.24303,0.000208,0.000208,0.000208
18,12563.3,0.9285,0.96155,1.20419,0.88557,0.83765,0.90477,0.6569,1.06637,0.90184,1.24734,0.0001585,0.0001585,0.0001585
19,13184.7,0.89225,0.91267,1.17639,0.91531,0.82366,0.90504,0.66231,1.05197,0.90196,1.22744,0.000109,0.000109,0.000109
20,13804,0.86812,0.88241,1.16462,0.87215,0.84403,0.90188,0.66198,1.03852,0.8777,1.22175,5.95e-05,5.95e-05,5.95e-05
